timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ind
1696292804514,-0.07299805,-0.97491455,0.085632324,3.21875,-1.125,2.15625,0
1696292804554,-0.10498047,-1.0005493,0.062683105,-1.0,1.65625,1.046875,1
1696292804594,-0.122802734,-1.0108032,0.061950684,-0.109375,-0.265625,0.296875,2
1696292804634,-0.092285156,-1.0015259,0.06390381,0.390625,0.171875,0.265625,3
1696292804674,-0.08300781,-0.9768677,0.061706543,-0.71875,0.296875,0.015625,4
1696292804714,-0.05078125,-0.9727173,-0.039611816,5.140625,-5.734375,3.5,5
1696292804754,0.025146484,-1.022522,0.011169434,7.8125,8.859375,-2.4375,6
1696292804794,-0.053222656,-0.8093872,0.19158936,-14.0625,2.8125,7.9375,7
1696292804834,-0.25195312,-1.065979,0.2555542,-9.84375,2.71875,-2.28125,8
1696292804874,-0.14624023,-1.0862427,0.21136475,-0.90625,3.03125,0.953125,9
1696292804914,-0.14282227,-0.9846802,0.109069824,-2.0625,-5.265625,-3.90625,10
1696292804954,-0.02758789,-0.92193604,0.048034668,-6.5625,-1.140625,-5.390625,11
1696292804994,-0.19213867,-0.9517212,0.16497803,-3.234375,-3.265625,-2.28125,12
1696292805034,-0.032470703,-1.0125122,0.13934326,-1.421875,-4.6875,0.90625,13
1696292805074,-0.1472168,-1.0210571,0.08856201,-3.9375,-2.71875,2.328125,14
1696292805114,-0.061767578,-1.0137329,0.086364746,3.28125,-1.1875,1.28125,15
1696292805154,-0.07373047,-0.96099854,0.11395264,2.140625,-0.640625,0.203125,16
1696292805194,-0.12768555,-1.0134888,0.15863037,1.078125,-0.75,-0.296875,17
1696292805234,-0.10571289,-0.98223877,0.11273193,-0.546875,-0.4375,0.0625,18
1696292805274,-0.1015625,-1.0222778,0.078308105,-3.96875,-0.65625,-0.921875,19
1696292805314,-0.09277344,-0.98223877,0.12420654,-1.640625,0.625,-3.6875,20
1696292805354,-0.14990234,-0.9771118,0.137146,-3.640625,-0.890625,-0.28125,21
1696292805394,-0.095458984,-0.9846802,0.10003662,-3.828125,0.59375,0.078125,22
1696292805434,-0.083496094,-0.9902954,0.04901123,-4.765625,-1.828125,-0.640625,23
1696292805474,-0.07446289,-0.98687744,0.10101318,-5.75,1.03125,-1.984375,24
1696292805514,-0.10986328,-0.9885864,0.13568115,-2.390625,-0.5,-1.578125,25
1696292805554,-0.06689453,-0.9624634,0.15985107,-4.015625,0.484375,-2.109375,26
1696292805594,-0.1665039,-0.9817505,0.18499756,-3.375,2.125,1.28125,27
1696292805634,-0.20166016,-1.0249634,0.2062378,-3.703125,1.484375,0.46875,28
1696292805674,-0.1184082,-1.0488892,0.18792725,1.171875,2.296875,0.40625,29
1696292805714,-0.14892578,-0.960022,0.18939209,0.65625,-0.03125,4.078125,30
1696292805754,-0.106933594,-0.98223877,0.17523193,-3.96875,-1.953125,1.140625,31
1696292805794,-0.1315918,-0.96295166,0.21087646,0.8125,0.546875,6.234375,32
1696292805834,-0.13500977,-1.005188,0.19012451,-6.59375,-5.0,6.890625,33
1696292805874,-0.099365234,-1.0105591,0.16741943,-1.390625,-7.515625,3.109375,34
1696292805914,-0.103759766,-0.98516846,0.117614746,1.96875,-7.828125,0.6875,35
1696292805954,-0.020507812,-0.9673462,0.10101318,6.125,-2.015625,0.203125,36
1696292805994,-0.0690918,-1.0266724,-0.008361816,18.6875,-7.78125,7.5625,37
1696292806034,0.13183594,-1.0855103,-0.13433838,12.578125,13.875,8.09375,38
1696292806074,0.10571289,-0.7473755,-0.05328369,-6.671875,11.609375,0.84375,39
1696292806114,-0.35424805,-0.98565674,0.44647217,-9.75,1.109375,2.28125,40
1696292806154,-0.024169922,-1.190979,0.17962646,-15.359375,-11.671875,-1.203125,41
1696292806194,0.015625,-0.9385376,-0.00079345703,3.28125,-5.96875,-1.171875,42
1696292806234,-0.015136719,-0.98150635,0.08807373,-9.140625,-3.75,-3.609375,43
1696292806274,-0.14477539,-0.913147,0.20428467,-0.859375,-3.921875,-4.359375,44
1696292806314,-0.13183594,-1.0591431,0.12835693,-7.296875,-3.5,0.859375,45
1696292806354,0.01977539,-1.048645,0.078063965,0.265625,-3.75,-1.71875,46
1696292806394,-0.099121094,-0.9812622,0.11590576,-3.125,-1.640625,-3.921875,47
1696292806434,-0.13696289,-0.95635986,0.17669678,3.21875,-0.515625,1.078125,48
1696292806474,-0.0021972656,-1.0095825,0.13494873,-2.109375,1.484375,-2.328125,49
1696292806514,-0.09790039,-0.99835205,0.13641357,-2.5625,-3.203125,0.15625,50
1696292806554,-0.10620117,-1.0488892,0.117370605,-0.375,-0.625,-2.25,51
1696292806594,-0.06298828,-0.9963989,0.1630249,4.734375,-1.15625,-2.125,52
1696292806634,-0.13500977,-0.9651489,0.15863037,8.296875,-0.359375,-1.5,53
1696292806674,-0.1184082,-1.008606,0.109558105,4.71875,-10.234375,-4.578125,54
1696292806714,-0.06518555,-1.0105591,0.11932373,9.9375,-3.0625,-5.625,55
1696292806754,-0.13012695,-1.000061,0.06561279,4.4375,-1.953125,-4.40625,56
1696292806794,-0.14379883,-1.013977,0.06121826,2.640625,2.71875,-6.09375,57
1696292806834,-0.092041016,-1.0098267,-0.061828613,-0.96875,0.8125,-0.6875,58
1696292806874,0.05419922,-0.92193604,-0.10406494,-4.703125,6.71875,-4.046875,59
1696292806914,-0.009033203,-0.8538208,0.10369873,-27.265625,9.8125,6.296875,60
1696292806954,-0.33496094,-1.0808716,0.28900146,-22.5,-6.25,-2.59375,61
1696292806994,-0.21508789,-1.1174927,0.369812,-4.109375,-1.953125,-9.078125,62
1696292807034,-0.036132812,-0.92803955,0.074401855,5.328125,-2.015625,-9.109375,63
1696292807074,-0.10888672,-0.9168091,0.062194824,-9.125,-5.875,-3.703125,64
1696292807114,-0.14746094,-0.99713135,0.18841553,-2.734375,-1.46875,-5.6875,65
1696292807154,-0.2055664,-0.9932251,0.16815186,-1.796875,-0.640625,-2.9375,66
1696292807194,-0.20605469,-1.0037231,0.14569092,-3.3125,-1.15625,-1.796875,67
1696292807234,-0.18530273,-0.960022,0.13641357,-3.875,-1.828125,-3.46875,68
1696292807274,-0.17919922,-0.9483032,0.16815186,-0.9375,1.828125,-1.90625,69
1696292807314,-0.20507812,-0.9807739,0.17645264,-2.875,-0.828125,-2.703125,70
1696292807354,-0.1809082,-0.9854126,0.14886475,-3.390625,-0.046875,-2.34375,71
1696292807394,-0.19458008,-0.9924927,0.16278076,-2.46875,3.03125,-3.953125,72
1696292807434,-0.17651367,-0.9937134,0.18426514,-2.609375,0.765625,-2.0,73
1696292807474,-0.17480469,-0.9915161,0.20916748,-5.640625,2.4375,-3.46875,74
1696292807514,-0.24560547,-0.9751587,0.17474365,-12.546875,3.59375,-5.953125,75
1696292807554,-0.21166992,-0.9710083,0.19256592,-4.4375,1.3125,-5.21875,76
1696292807594,-0.23706055,-1.0088501,0.20135498,0.109375,6.03125,-4.828125,77
1696292807634,-0.23217773,-0.9746704,0.24261475,5.3125,11.203125,-6.25,78
1696292807674,-0.20166016,-0.93096924,0.19451904,4.875,9.109375,-3.25,79
1696292807714,-0.15820312,-0.8633423,-0.023986816,7.75,-11.578125,5.515625,80
1696292807754,-0.040283203,-0.8399048,0.14788818,15.3125,0.8125,7.109375,81
1696292807794,-0.15454102,-0.81085205,0.30511475,-23.71875,-5.625,11.203125,82
1696292807834,-0.40673828,-1.1160278,0.3937378,-12.890625,1.140625,-6.109375,83
1696292807874,-0.4152832,-1.1099243,0.434021,-3.0,-3.5,-0.8125,84
1696292807914,-0.09082031,-0.95025635,0.2321167,11.515625,-0.078125,-6.09375,85
1696292807954,-0.16821289,-0.9155884,0.07928467,-9.203125,-4.015625,-3.90625,86
1696292807994,-0.22753906,-0.88360596,0.24505615,-1.9375,-0.71875,-1.59375,87
1696292808034,-0.2253418,-1.0081177,0.27630615,0.359375,-2.953125,2.375,88
1696292808074,-0.23120117,-0.9976196,0.2020874,-4.515625,-5.734375,3.65625,89
1696292808114,-0.17407227,-0.98321533,0.15472412,-8.09375,-7.96875,-1.828125,90
1696292808154,-0.17578125,-0.88067627,0.22283936,-4.03125,-4.15625,-0.78125,91
1696292808194,-0.27490234,-0.956604,0.24676514,-5.75,-1.53125,1.15625,92
1696292808234,-0.26586914,-1.0134888,0.25628662,-3.125,0.125,-0.53125,93
1696292808274,-0.1706543,-0.98101807,0.18963623,-2.90625,-1.84375,-1.71875,94
1696292808314,-0.20385742,-0.9458618,0.22845459,-3.5625,0.28125,-1.015625,95
1696292808354,-0.19946289,-0.93634033,0.26531982,-2.078125,0.515625,-0.859375,96
1696292808394,-0.24438477,-0.9783325,0.25091553,-1.03125,2.3125,3.3125,97
1696292808434,-0.2277832,-0.9636841,0.30340576,3.359375,3.296875,3.890625,98
1696292808474,-0.2368164,-0.9841919,0.29144287,1.03125,0.65625,4.28125,99
1696292808514,-0.21826172,-0.94903564,0.27679443,3.734375,-3.875,5.828125,100
1696292808554,-0.20532227,-0.9807739,0.21209717,3.390625,-1.5,4.96875,101
1696292808594,-0.22485352,-1.0130005,0.15887451,11.34375,8.734375,5.5625,102
1696292808634,-0.17236328,-0.9241333,0.09442139,23.90625,-7.15625,8.9375,103
1696292808674,0.03100586,-1.0100708,-0.1638794,16.203125,7.453125,13.28125,104
1696292808714,-0.06933594,-0.9480591,0.078552246,12.578125,19.28125,11.375,105
1696292808754,-0.21142578,-1.0003052,0.24871826,-17.71875,2.21875,4.9375,106
1696292808794,-0.21289062,-1.019104,0.36663818,1.015625,-0.328125,-1.25,107
1696292808834,-0.076660156,-0.9846802,0.1305542,-16.09375,-14.75,-5.25,108
1696292808874,-0.12792969,-0.9873657,0.20184326,-3.953125,-8.625,-4.546875,109
1696292808914,-0.114746094,-0.9817505,0.11834717,-12.9375,-13.515625,-3.828125,110
1696292808954,-0.13256836,-0.9368286,0.21307373,-7.0,-2.28125,-3.1875,111
1696292808994,-0.2133789,-1.0366821,0.24725342,2.8125,-0.140625,2.609375,112
1696292809034,-0.114990234,-0.98809814,0.18206787,4.578125,0.03125,-0.5625,113
1696292809074,-0.13378906,-0.9612427,0.14764404,0.25,-2.390625,-2.265625,114
1696292809114,-0.1796875,-0.9824829,0.14813232,0.15625,-4.296875,1.328125,115
1696292809154,-0.16699219,-0.9619751,0.1720581,-2.609375,-4.34375,-1.515625,116
1696292809194,-0.19726562,-1.0122681,0.20452881,-2.703125,3.28125,-1.359375,117
1696292809234,-0.18823242,-0.98809814,0.20916748,1.671875,3.59375,-2.296875,118
1696292809274,-0.15356445,-0.9612427,0.16815186,-0.875,-0.296875,-2.6875,119
1696292809314,-0.15771484,-0.9602661,0.19232178,1.3125,-3.046875,3.328125,120
1696292809354,-0.18530273,-0.95684814,0.20379639,-1.25,-4.09375,1.5625,121
1696292809394,-0.11645508,-0.9746704,0.10443115,-4.90625,-4.96875,-0.375,122
1696292809434,-0.15673828,-0.98565674,0.15374756,-2.421875,3.515625,-3.984375,123
1696292809474,-0.14648438,-0.99298096,0.19671631,0.828125,-0.640625,-3.90625,124
1696292809514,-0.18774414,-0.96661377,0.20013428,-3.75,-6.140625,0.15625,125
1696292809554,-0.17993164,-0.96832275,0.20281982,-7.875,-2.5,-2.625,126
1696292809594,-0.20117188,-0.95880127,0.2579956,2.609375,1.765625,-0.1875,127
1696292809634,-0.20336914,-0.9649048,0.20037842,0.5625,3.765625,-0.875,128
1696292809674,-0.16186523,-0.9793091,0.21624756,0.359375,1.171875,-1.234375,129
1696292809714,-0.18701172,-0.96710205,0.18328857,0.03125,0.296875,0.65625,130
1696292809754,-0.17871094,-0.9619751,0.21185303,1.921875,-0.5,1.1875,131
1696292809794,-0.17797852,-0.9871216,0.20697021,-2.6875,-2.34375,2.578125,132
1696292809834,-0.15966797,-0.9697876,0.15814209,-17.421875,-3.3125,-0.71875,133
1696292809874,-0.22143555,-1.0164185,0.24505615,-4.40625,0.921875,1.875,134
1696292809914,-0.2277832,-1.0115356,0.22503662,1.171875,0.1875,1.140625,135
1696292809954,-0.18823242,-0.95318604,0.14715576,10.90625,-1.828125,1.59375,136
1696292809994,-0.05493164,-1.0010376,0.07513428,7.765625,-0.078125,2.5,137
1696292810034,-0.09692383,-0.9277954,0.20892334,-0.5625,1.46875,6.796875,138
1696292810074,-0.19506836,-0.9026489,0.3348999,-6.65625,1.5,-2.625,139
1696292810114,-0.27197266,-1.0432739,0.3847046,5.140625,-1.9375,5.0625,140
1696292810154,-0.18481445,-0.97247314,0.17034912,-5.546875,-7.21875,-1.71875,141
1696292810194,-0.107666016,-0.9939575,0.17059326,-7.421875,-8.03125,-3.5,142
1696292810234,-0.19165039,-0.9241333,0.26068115,-0.46875,-2.953125,-2.484375,143
1696292810274,-0.19262695,-0.97613525,0.21380615,-1.625,0.359375,2.203125,144
1696292810314,-0.12670898,-0.9976196,0.19573975,-0.546875,-1.859375,-2.484375,145
1696292810354,-0.1809082,-0.9692993,0.18817139,-2.015625,-1.859375,-0.828125,146
1696292810394,-0.18701172,-1.0061646,0.24407959,0.5,-1.015625,-0.140625,147
1696292810434,-0.16821289,-0.95440674,0.20111084,-2.984375,-4.640625,0.25,148
1696292810474,-0.13208008,-0.97052,0.2140503,-5.25,-0.625,-0.96875,149
1696292810514,-0.23071289,-0.9751587,0.2538452,-2.828125,-0.453125,-1.828125,150
1696292810554,-0.18798828,-0.9517212,0.2567749,0.734375,1.390625,0.46875,151
1696292810594,-0.1953125,-0.9854126,0.24383545,2.6875,2.78125,1.703125,152
1696292810634,-0.15844727,-0.9458618,0.24871826,4.421875,3.875,3.21875,153
1696292810674,-0.21411133,-0.9649048,0.260437,3.4375,3.5625,4.921875,154
1696292810714,-0.17700195,-0.98443604,0.22601318,6.03125,2.625,6.9375,155
1696292810754,-0.16772461,-1.0046997,0.15838623,2.84375,3.296875,4.75,156
1696292810794,-0.13989258,-1.0132446,0.18817139,9.40625,2.53125,3.96875,157
1696292810834,-0.107910156,-0.99420166,0.1539917,10.6875,1.0,1.265625,158
1696292810874,-0.072265625,-0.9368286,0.09222412,15.140625,-6.296875,3.90625,159
1696292810914,-0.037109375,-1.0549927,-0.074523926,12.546875,7.15625,4.4375,160
1696292810954,-0.008544922,-0.8948364,0.093933105,-1.703125,14.015625,5.765625,161
1696292810994,-0.1899414,-0.97125244,0.31756592,-16.984375,1.421875,-1.625,162
1696292811034,-0.1796875,-1.1045532,0.3163452,4.3125,-3.765625,-1.53125,163
1696292811074,-0.110839844,-0.9793091,0.15374756,-0.328125,-6.484375,-4.109375,164
1696292811114,-0.061279297,-1.0025024,0.026794434,-12.296875,-8.859375,-3.703125,165
1696292811154,-0.19042969,-0.9390259,0.19891357,1.984375,-3.71875,-2.984375,166
1696292811194,-0.109375,-0.9492798,0.1618042,-2.875,-2.640625,1.578125,167
1696292811234,-0.12036133,-1.0083618,0.14447021,1.453125,-2.078125,1.28125,168
1696292811274,-0.12426758,-0.9871216,0.15179443,1.40625,-3.8125,0.625,169
1696292811314,-0.15576172,-0.9920044,0.18084717,2.078125,0.5625,0.765625,170
1696292811354,-0.15551758,-0.98443604,0.16571045,3.15625,1.296875,1.203125,171
1696292811394,-0.11669922,-0.9998169,0.16278076,4.015625,3.265625,1.78125,172
1696292811434,-0.16235352,-0.9890747,0.1395874,1.8125,4.828125,3.015625,173
1696292811474,-0.12939453,-0.9741821,0.17816162,4.53125,5.53125,2.90625,174
1696292811514,-0.16259766,-1.000061,0.19110107,5.03125,3.421875,7.046875,175
1696292811554,-0.12011719,-1.0303345,0.097839355,-0.453125,-0.65625,5.390625,176
1696292811594,-0.032714844,-1.019104,0.0036010742,6.296875,-6.578125,1.8125,177
1696292811634,0.05102539,-0.9570923,-0.06427002,15.875,0.828125,6.296875,178
1696292811674,-0.033691406,-0.9932251,0.11175537,6.484375,-0.875,4.71875,179
1696292811714,-0.13452148,-0.8262329,0.1437378,-18.96875,-4.65625,-3.8125,180
1696292811754,-0.22705078,-1.1331177,0.21673584,-3.609375,-3.375,5.515625,181
1696292811794,-0.10205078,-1.0405884,0.23822021,5.578125,-4.3125,-0.9375,182
1696292811834,-0.024169922,-0.8904419,-0.003479004,-1.40625,-9.40625,1.140625,183
1696292811874,-0.07836914,-1.000061,0.093444824,-7.640625,-1.90625,-2.375,184
1696292811914,-0.09033203,-0.9993286,0.09466553,-3.90625,-0.734375,0.3125,185
1696292811954,-0.08227539,-1.0618286,0.17962646,4.65625,-0.53125,1.765625,186
1696292811994,-0.087890625,-0.96832275,0.06488037,-1.890625,-5.515625,0.328125,187
1696292812034,-0.06518555,-0.9331665,0.07171631,-3.375,-3.390625,-0.515625,188
1696292812074,-0.07055664,-1.0025024,0.1227417,-2.15625,0.46875,-1.921875,189
1696292812114,-0.1328125,-1.03302,0.13983154,4.203125,-0.234375,1.875,190
1696292812154,-0.041992188,-1.0269165,0.055603027,-5.09375,-3.796875,-2.140625,191
1696292812194,-0.08862305,-0.9439087,0.12786865,0.578125,-0.96875,-0.765625,192
1696292812234,-0.111328125,-0.9702759,0.10345459,2.984375,1.640625,1.15625,193
1696292812274,-0.103515625,-1.0527954,0.0692749,-0.921875,1.25,4.421875,194
1696292812314,-0.03955078,-1.0256958,0.117370605,0.1875,-2.515625,-0.984375,195
1696292812354,-0.05883789,-0.9585571,0.116882324,-3.703125,-4.234375,-4.109375,196
1696292812394,-0.1184082,-1.0205688,0.1071167,-6.28125,-4.484375,-4.921875,197
1696292812434,-0.040771484,-0.9734497,0.13568115,-0.859375,-0.625,-1.09375,198
1696292812474,-0.099609375,-0.9846802,0.13031006,-5.21875,-0.140625,-2.25,199
1696292812514,-0.1340332,-1.0379028,0.13372803,-3.734375,-2.25,-2.46875,200
1696292812554,-0.103027344,-0.9624634,0.10638428,-1.921875,-3.09375,-1.90625,201
1696292812594,-0.12841797,-0.9734497,0.13275146,-3.234375,1.109375,-2.734375,202
1696292812634,-0.11621094,-0.9885864,0.14984131,-4.3125,-2.390625,-2.625,203
1696292812674,-0.1640625,-1.0188599,0.19818115,-0.578125,0.078125,-1.859375,204
1696292812714,-0.13110352,-1.000061,0.05633545,-5.046875,-6.78125,-2.796875,205
1696292812754,-0.06982422,-0.9849243,0.14105225,2.078125,0.375,-4.609375,206
1696292812794,-0.06958008,-1.0134888,0.11029053,-2.1875,-3.0625,-2.40625,207
1696292812834,-0.13085938,-1.0232544,0.074401855,-8.765625,-5.046875,-4.0625,208
1696292812874,-0.057617188,-0.9717407,0.18377686,-6.25,0.28125,-7.46875,209
1696292812914,-0.16064453,-0.9224243,0.15740967,-1.078125,-1.953125,0.53125,241
1696292812954,-0.17797852,-0.98394775,0.17816162,-4.015625,0.40625,-0.21875,242
1696292812994,-0.19116211,-0.9915161,0.18914795,2.125,-1.421875,0.8125,243
1696292813034,-0.15258789,-0.97613525,0.16619873,-1.0625,0.53125,-2.8125,244
1696292813074,-0.16333008,-0.9612427,0.1293335,0.5,-1.96875,-1.015625,245
1696292813114,-0.1508789,-0.9734497,0.1251831,0.53125,-2.25,-0.90625,246
1696292813154,-0.19750977,-0.95025635,0.14031982,1.0,-1.125,3.265625,247
1696292813194,-0.18847656,-1.0230103,0.09539795,-6.109375,-0.59375,0.4375,248
1696292813234,-0.18896484,-0.9663696,0.24066162,0.875,-3.234375,-0.796875,249
1696292813274,-0.17382812,-0.9439087,0.24578857,1.515625,-1.78125,2.6875,250
1696292813314,-0.2055664,-0.9468384,0.14178467,-2.40625,-0.203125,2.6875,251
1696292813354,-0.15991211,-0.99053955,0.14202881,3.15625,0.109375,4.734375,252
1696292813394,-0.12231445,-0.9812622,0.13616943,0.71875,-1.78125,0.90625,253
1696292813434,-0.17675781,-0.9771118,0.19744873,4.6875,-0.46875,2.5625,254
1696292813474,-0.15185547,-1.0029907,0.13201904,0.640625,0.703125,2.671875,255
1696292813514,-0.12524414,-0.9944458,0.093933105,1.625,1.34375,1.53125,256
1696292813554,-0.11303711,-0.97076416,0.11810303,0.5,-1.0,0.375,257
1696292813594,-0.16210938,-0.9985962,0.1408081,-3.375,1.28125,2.40625,258
1696292813634,-0.20483398,-1.0010376,0.21575928,7.96875,0.953125,4.75,259
1696292813674,-0.1171875,-1.0044556,0.1449585,1.328125,0.171875,1.4375,260
1696292813714,-0.16723633,-0.9758911,0.117370605,1.09375,0.5625,0.71875,261
1696292813754,-0.107421875,-0.9956665,0.097351074,-3.203125,-1.953125,-0.296875,262
1696292813794,-0.14111328,-0.9627075,0.13616943,-1.53125,-2.734375,0.25,263
1696292813834,-0.1574707,-0.99542236,0.13494873,1.953125,-1.09375,1.703125,264
1696292813874,-0.07714844,-1.0081177,0.09246826,-0.3125,-1.09375,-0.28125,265
1696292813914,-0.1459961,-0.99176025,0.13201904,-1.765625,-1.171875,-0.625,266
1696292813954,-0.13378906,-0.97247314,0.1564331,-0.109375,-1.75,0.140625,267
1696292813994,-0.12695312,-0.97125244,0.14935303,-2.609375,-2.28125,0.265625,268
1696292814034,-0.14794922,-1.0039673,0.13421631,-3.046875,-3.90625,0.3125,269
1696292814074,-0.16577148,-1.0127563,0.15032959,-4.78125,-3.96875,0.65625,270
1696292814114,-0.14819336,-1.0183716,0.13543701,-5.515625,-2.90625,-0.265625,271
1696292814154,-0.14428711,-0.98883057,0.12860107,-3.46875,-0.734375,-2.21875,272
1696292814194,-0.115234375,-0.94415283,0.15716553,2.484375,-1.4375,-0.9375,273
1696292814234,-0.099121094,-1.0064087,0.038269043,-1.765625,-1.734375,-0.40625,274
1696292814274,0.008056641,-0.95635986,0.14398193,11.046875,1.59375,0.171875,275
1696292814314,-0.1706543,-0.82598877,0.16326904,-11.484375,-4.359375,4.765625,276
1696292814354,-0.2475586,-1.0930786,0.23626709,-3.1875,0.890625,1.25,277
1696292814394,-0.17016602,-1.065979,0.1786499,-1.0,-2.3125,-0.3125,278
1696292814434,-0.08984375,-0.9668579,0.04071045,-7.359375,-8.0,-4.578125,279
1696292814474,-0.12768555,-0.88946533,0.15081787,-4.484375,1.421875,-4.359375,280
1696292814514,-0.23754883,-0.9512329,0.2345581,0.0625,-3.21875,1.5625,281
1696292814554,-0.16381836,-1.0322876,0.14251709,-3.953125,-1.90625,-0.78125,282
1696292814594,-0.10644531,-1.0105591,0.12176514,0.390625,-3.09375,-0.8125,283
1696292814634,-0.13378906,-0.95147705,0.1708374,-2.921875,-2.4375,-3.609375,284
